date,truck_id,distance_km
2026-06-15,Tvs-KMGL-282K,363.89
2026-06-16,Canter-KCG-149N,403.54
2026-06-16,FH-KBP-764X,215.05
2026-06-16,FRR-KDA-021R,196.42
2026-06-16,FRR-KDL-166P,250.27
2026-06-16,FUSO-KCU-662N,47.21
2026-06-16,Fuso-KDR-832J,0
2026-06-16,Hilux-KCS-029Q,7.69
2026-06-16,Hino-KDJ-423S,221.53
2026-06-16,Isuzu-KDW-498R,225.75
2026-06-16,NKR-KDA-089J,361.76
2026-06-16,Probox-KDG-749M,79.95
2026-06-16,Probox-KDL-730Y,170.85
2026-06-16,Tata-KDE-169F,284.14
2026-06-16,Tvs-KMGL-282K,0
2026-06-17,Canter-KCG-149N,0.42
2026-06-17,FH-KBP-764X,238.86
2026-06-17,FRR-KDA-021R,578.72
2026-06-17,FRR-KDL-166P,247.24
2026-06-17,FUSO-KCU-662N,93.19
2026-06-17,Fuso-KDR-832J,0
2026-06-17,Hilux-KCS-029Q,17.91
2026-06-17,Hino-KDJ-423S,132.31
2026-06-17,Isuzu-KDW-498R,276.85
2026-06-17,NKR-KDA-089J,404
2026-06-17,Probox-KDG-749M,200.02
2026-06-17,Probox-KDL-730Y,159
2026-06-17,Tata-KDE-169F,155.96
2026-06-17,Tvs-KMGL-282K,473.13
2026-06-18,Canter-KCG-149N,311.29
2026-06-18,FH-KBP-764X,236.26
2026-06-18,FRR-KDA-021R,318.4
2026-06-18,FRR-KDL-166P,27.68
2026-06-18,FUSO-KCU-662N,154.06
2026-06-18,Fuso-KDR-832J,0
2026-06-18,Hilux-KCS-029Q,271.5
2026-06-18,Hino-KDJ-423S,222
2026-06-18,Isuzu-KDW-498R,246.22
2026-06-18,NKR-KDA-089J,24.01
2026-06-18,Probox-KDG-749M,200.08
2026-06-18,Probox-KDL-730Y,123.03
2026-06-18,Tata-KDE-169F,130.56
2026-06-18,Tvs-KMGL-282K,303.4
2026-06-19,Canter-KCG-149N,269.59
2026-06-19,FH-KBP-764X,245.94
2026-06-19,FRR-KDA-021R,7.62
2026-06-19,FRR-KDL-166P,226.31
2026-06-19,FUSO-KCU-662N,109.64
2026-06-19,Fuso-KDR-832J,0
2026-06-19,Hilux-KCS-029Q,63.01
2026-06-19,Hino-KDJ-423S,230.1
2026-06-19,Isuzu-KDW-498R,224.39
2026-06-19,NKR-KDA-089J,21.64
2026-06-19,Probox-KDG-749M,335.98
2026-06-19,Probox-KDL-730Y,31.28
2026-06-19,Tata-KDE-169F,0.12
2026-06-19,Tvs-KMGL-282K,80.12
2026-06-20,Canter-KCG-149N,217.33
2026-06-20,FH-KBP-764X,127.99
2026-06-20,FRR-KDA-021R,256.06
2026-06-20,FRR-KDL-166P,266.04
2026-06-20,FUSO-KCU-662N,0.01
2026-06-20,Fuso-KDR-832J,0
2026-06-20,Hilux-KCS-029Q,9.09
2026-06-20,Hino-KDJ-423S,148.23
2026-06-20,Isuzu-KDW-498R,143.26
2026-06-20,NKR-KDA-089J,350.29
2026-06-20,Probox-KDG-749M,73.47
2026-06-20,Probox-KDL-730Y,56.88
2026-06-20,Tata-KDE-169F,164.03
2026-06-20,Tvs-KMGL-282K,403.17
2026-06-21,Canter-KCG-149N,219.11
2026-06-21,FH-KBP-764X,38.02
2026-06-21,FRR-KDA-021R,195.29
2026-06-21,FRR-KDL-166P,179.75
2026-06-21,FUSO-KCU-662N,1.59
2026-06-21,Fuso-KDR-832J,0
2026-06-21,Hilux-KCS-029Q,23.23
2026-06-21,Hino-KDJ-423S,227.84
2026-06-21,Isuzu-KDW-498R,187.87
2026-06-21,NKR-KDA-089J,325.25
2026-06-21,Probox-KDG-749M,30.08
2026-06-21,Probox-KDL-730Y,94.39
2026-06-21,Tata-KDE-169F,202.36
2026-06-21,Tvs-KMGL-282K,25.47
2026-06-22,Canter-KCG-149N,371.08
2026-06-22,FH-KBP-764X,122.26
2026-06-22,FRR-KDA-021R,277.75
2026-06-22,FRR-KDL-166P,245.22
2026-06-22,FUSO-KCU-662N,193.8
2026-06-22,Fuso-KDR-832J,0
2026-06-22,Hilux-KCS-029Q,299.1
2026-06-22,Hino-KDJ-423S,150.14
2026-06-22,Isuzu-KDW-498R,237.94
2026-06-22,NKR-KDA-089J,254.92
2026-06-22,Probox-KDG-749M,116.61
2026-06-22,Probox-KDL-730Y,185.31
2026-06-22,Tata-KDE-169F,166.97
2026-06-22,Tvs-KMGL-282K,40.45
2026-06-23,Canter-KCG-149N,309.51
2026-06-23,FH-KBP-764X,95.83
2026-06-23,FRR-KDA-021R,194.71
2026-06-23,FRR-KDL-166P,222.27
2026-06-23,FUSO-KCU-662N,36.53
2026-06-23,Fuso-KDR-832J,0
2026-06-23,Hilux-KCS-029Q,104.88
2026-06-23,Hino-KDJ-423S,192.34
2026-06-23,Isuzu-KDW-498R,73.64
2026-06-23,NKR-KDA-089J,394.27
2026-06-23,Probox-KDG-749M,318.92
2026-06-23,Probox-KDL-730Y,174.8
2026-06-23,Tata-KDE-169F,146.8
2026-06-23,Tvs-KMGL-282K,0
2026-06-24,Canter-KCG-149N,346.67
2026-06-24,FH-KBP-764X,107.43
2026-06-24,FRR-KDA-021R,305.65
2026-06-24,FRR-KDL-166P,370.23
2026-06-24,FUSO-KCU-662N,157.34
2026-06-24,Fuso-KDR-832J,0
2026-06-24,Hilux-KCS-029Q,165.79
2026-06-24,Hino-KDJ-423S,216.65
2026-06-24,Isuzu-KDW-498R,285.42
2026-06-24,NKR-KDA-089J,282.2
2026-06-24,Probox-KDG-749M,157.88
2026-06-24,Probox-KDL-730Y,69.04
2026-06-24,Tata-KDE-169F,130.72
2026-06-24,Tvs-KMGL-282K,225.42
2026-06-25,Canter-KCG-149N,168.05
2026-06-25,FH-KBP-764X,138.59
2026-06-25,FRR-KDA-021R,1.05
2026-06-25,FRR-KDL-166P,227.46
2026-06-25,FUSO-KCU-662N,0.13
2026-06-25,Fuso-KDR-832J,0
2026-06-25,Hilux-KCS-029Q,0.04
2026-06-25,Hino-KDJ-423S,150.18
2026-06-25,Isuzu-KDW-498R,105.03
2026-06-25,NKR-KDA-089J,262.31
2026-06-25,Probox-KDG-749M,1.1
2026-06-25,Probox-KDL-730Y,99.66
2026-06-25,Tata-KDE-169F,205.16
2026-06-25,Tvs-KMGL-282K,64.24
2026-06-26,Canter-KCG-149N,450.67
2026-06-26,FH-KBP-764X,90.71
2026-06-26,FRR-KDA-021R,246.01
2026-06-26,FRR-KDL-166P,366.21
2026-06-26,FUSO-KCU-662N,35.83
2026-06-26,Fuso-KDR-832J,0
2026-06-26,Hilux-KCS-029Q,127.8
2026-06-26,Hino-KDJ-423S,189.43
2026-06-26,Isuzu-KDW-498R,116.56
2026-06-26,NKR-KDA-089J,235.67
2026-06-26,Probox-KDG-749M,118.67
2026-06-26,Probox-KDL-730Y,54.77
2026-06-26,Tata-KDE-169F,222.09
2026-06-26,Tvs-KMGL-282K,552.67
2026-06-27,Canter-KCG-149N,316.27
2026-06-27,FH-KBP-764X,169.73
2026-06-27,FRR-KDA-021R,181.52
2026-06-27,FRR-KDL-166P,412.42
2026-06-27,FUSO-KCU-662N,163.85
2026-06-27,Fuso-KDR-832J,0
2026-06-27,Hilux-KCS-029Q,317.15
2026-06-27,Hino-KDJ-423S,150.28
2026-06-27,Isuzu-KDW-498R,271.09
2026-06-27,NKR-KDA-089J,200.8
2026-06-27,Probox-KDG-749M,150.12
2026-06-27,Probox-KDL-730Y,46.56
2026-06-27,Tata-KDE-169F,328.07
2026-06-27,Tvs-KMGL-282K,35.79
